Employee_Name	PerformanceScore	Score					
"Sewkumar, Nori"	Fully Meets	4					
"Shepard, Anita"	Fully Meets	4					
"Shields, Seffi"	Fully Meets	4					
"Simard, Kramer"	Fully Meets	4					
"Singh, Nan"	Fully Meets	4					
"Sloan, Constance"	Fully Meets	4					
"Smith, Joe"	Exceeds	5					
"Smith, John"	Needs Improvement	3					
"Smith, Leigh Ann"	Fully Meets	4					
"Smith, Martin"	Needs Improvement	3					
"Smith, Sade"	Fully Meets	4					
"Soto, Julia"	Fully Meets	4					
"Soze, Keyser"	Fully Meets	4					
"Sparks, Taylor"	PIP	2					
"Spirea, Kelley"	Fully Meets	4					
"Squatrito, Kristen"	Exceeds	5					
"Stanford,Barbara  M"	Fully Meets	4					
"Stansfield, Norman"	PIP	2					
"Steans, Tyrone"	Fully Meets	4					
"Stoica, Rick"	Fully Meets	4					
"Strong, Caitrin"	Fully Meets	4					
"Sullivan, Kissy"	Fully Meets	4					
"Sullivan, Timothy"	Fully Meets	4					
"Sutwell, Barbara"	Fully Meets	4					
"Szabo, Andrew"	Exceeds	5					
"Tannen, Biff"	Fully Meets	4					
"Tavares, Desiree"	Fully Meets	4					
"Tejeda, Lenora"	Fully Meets	4					
"Terry, Sharlene"	Fully Meets	4					
"Theamstern, Sophia"	Fully Meets	4					
"Thibaud, Kenneth"	Fully Meets	4					
"Tippett, Jeanette"	Fully Meets	4					
"Torrence, Jack"	Exceeds	5					
"Trang, Mei"	Needs Improvement	3					
"Tredinnick, Neville"	Fully Meets	4					
"True, Edward"	Fully Meets	4					
"Trzeciak, Cybil"	Fully Meets	4					
"Turpin, Jumil"	Fully Meets	4					
"Valentin,Jackie"	Fully Meets	4					
"Veera, Abdellah"	Exceeds	5					
"Vega, Vincent"	Fully Meets	4					
"Villanueva, Noah"	Fully Meets	4					
"Voldemort, Lord"	Fully Meets	4					
"Volk, Colleen"	Exceeds	5					
"Von Massenbach, Anna"	Fully Meets	4					
"Walker, Roger"	Fully Meets	4					
"Wallace, Courtney  E"	Fully Meets	4					
"Wallace, Theresa"	Needs Improvement	3					
"Wang, Charlie"	Fully Meets	4					
"Warfield, Sarah"	Fully Meets	4					
"Whittier, Scott"	Fully Meets	4					
"Wilber, Barry"	Fully Meets	4					
"Wilkes, Annie"	Fully Meets	4					
"Williams, Jacquelyn"	Fully Meets	4					
"Winthrop, Jordan"	Exceeds	5					
"Wolk, Hang  T"	Fully Meets	4					
"Woodson, Jason"	Fully Meets	4					
"Ybarra, Catherine"	PIP	2					
"Zamora, Jennifer"	Exceeds	5					
"Zhou, Julia"	Fully Meets	4					
"Zima, Colleen"	Fully Meets	4					
